id,degree,uniquePartners,cliqueScore,label
Sybil_30,4,4,0.0833,0
Sybil_31,4,3,0.1667,0
Sybil_32,4,4,0.0000,0
Sybil_33,4,4,0.3333,0
Sybil_34,4,4,0.1667,0
Sybil_35,4,4,0.0833,0
Sybil_36,4,4,0.2500,0
Sybil_37,3,3,0.0000,0
Sybil_38,4,4,0.2500,0
Sybil_39,4,4,0.0833,0
