from,to,round,label
Smart_9,Smart_7,1,SmartCollusion
Smart_10,Honest_13,1,SmartCollusion
Smart_11,Smart_1,1,SmartCollusion
Smart_12,Honest_71,1,SmartCollusion
Smart_13,Smart_3,1,SmartCollusion
Smart_14,Honest_17,1,SmartCollusion
Smart_15,Honest_133,1,SmartCollusion
Smart_16,Smart_10,1,SmartCollusion
Smart_17,Honest_87,1,SmartCollusion
Smart_18,Smart_2,1,SmartCollusion
Smart_19,Honest_136,1,SmartCollusion
Sybil_0,Sybil_21,1,Sybil
Sybil_1,Smart_1,1,Sybil
Sybil_2,Sybil_39,1,Sybil
Sybil_3,Honest_116,1,Sybil
Sybil_4,Sybil_39,1,Sybil
Sybil_5,Honest_44,1,Sybil
Sybil_6,Honest_36,1,Sybil
Sybil_7,Honest_126,1,Sybil
Sybil_8,Honest_68,1,Sybil
Sybil_9,Smart_2,1,Sybil
Sybil_10,Sybil_1,1,Sybil
Sybil_11,Smart_11,1,Sybil
Sybil_12,Sybil_2,1,Sybil
Sybil_13,Honest_91,1,Sybil
Sybil_14,Honest_81,1,Sybil
Sybil_15,Sybil_32,1,Sybil
Sybil_16,Honest_71,1,Sybil
Sybil_17,Honest_98,1,Sybil
Sybil_18,Honest_16,1,Sybil
Sybil_19,Honest_125,1,Sybil
Sybil_20,Honest_12,1,Sybil
Sybil_21,Sybil_3,1,Sybil
Sybil_22,Honest_32,1,Sybil
Sybil_23,Sybil_7,1,Sybil
Sybil_24,Sybil_3,1,Sybil
Sybil_25,Honest_100,1,Sybil
Sybil_26,Honest_112,1,Sybil
Sybil_27,Honest_40,1,Sybil
Sybil_28,Sybil_31,1,Sybil
Sybil_29,Honest_60,1,Sybil
Sybil_30,Sybil_26,1,Sybil
Sybil_31,Smart_18,1,Sybil
Sybil_32,Honest_89,1,Sybil
Sybil_33,Honest_113,1,Sybil
Sybil_34,Honest_58,1,Sybil
Sybil_35,Honest_136,1,Sybil
Sybil_36,Sybil_0,1,Sybil
Sybil_37,Sybil_25,1,Sybil
Sybil_38,Honest_103,1,Sybil
Sybil_39,Honest_6,1,Sybil
Honest_0,Sybil_21,2,Honest
Honest_1,Honest_106,2,Honest
Honest_2,Sybil_18,2,Honest
Honest_3,Honest_117,2,Honest
Honest_4,Honest_63,2,Honest
Honest_5,Honest_55,2,Honest
Honest_6,Sybil_0,2,Honest
Honest_7,Honest_63,2,Honest
Honest_8,Honest_14,2,Honest
Honest_9,Honest_123,2,Honest
Honest_10,Honest_92,2,Honest
Honest_11,Honest_28,2,Honest
Honest_12,Sybil_39,2,Honest
Honest_13,Honest_49,2,Honest
Honest_14,Honest_62,2,Honest
Honest_15,Sybil_8,2,Honest
Honest_16,Sybil_18,2,Honest
Honest_17,Honest_129,2,Honest
Honest_18,Honest_50,2,Honest
Honest_19,Honest_93,2,Honest
Honest_20,Honest_129,2,Honest
Honest_21,Honest_117,2,Honest
Honest_22,Honest_103,2,Honest
Honest_23,Honest_135,2,Honest
Honest_24,Honest_121,2,Honest
Honest_25,Honest_136,2,Honest
Honest_26,Honest_101,2,Honest
Honest_27,Honest_52,2,Honest
Honest_28,Honest_57,2,Honest
Honest_29,Honest_56,2,Honest
Honest_30,Honest_123,2,Honest
Honest_31,Sybil_10,2,Honest
Honest_32,Honest_10,2,Honest
Honest_33,Honest_89,2,Honest
Honest_34,Sybil_19,2,Honest
Honest_35,Honest_12,2,Honest
Honest_36,Honest_136,2,Honest
Honest_37,Sybil_15,2,Honest
Honest_38,Honest_112,2,Honest
Honest_39,Sybil_28,2,Honest
Honest_40,Honest_97,2,Honest
Honest_41,Honest_34,2,Honest
Honest_42,Honest_103,2,Honest
Honest_43,Honest_89,2,Honest
Honest_44,Honest_0,2,Honest
Honest_45,Honest_86,2,Honest
Honest_46,Smart_13,2,Honest
Honest_47,Honest_31,2,Honest
Honest_48,Sybil_16,2,Honest
Honest_49,Honest_110,2,Honest
Honest_50,Honest_90,2,Honest
Honest_51,Sybil_19,2,Honest
Honest_52,Honest_112,2,Honest
Honest_53,Honest_124,2,Honest
Honest_54,Sybil_7,2,Honest
Honest_55,Honest_14,2,Honest
Honest_56,Sybil_22,2,Honest
Honest_57,Honest_32,2,Honest
Honest_58,Sybil_7,2,Honest
Honest_59,Honest_114,2,Honest
Honest_60,Honest_54,2,Honest
Honest_61,Sybil_30,2,Honest
Honest_62,Honest_68,2,Honest
Honest_63,Honest_108,2,Honest
Honest_64,Smart_4,2,Honest
Honest_65,Honest_62,2,Honest
Honest_66,Sybil_20,2,Honest
Honest_67,Honest_43,2,Honest
Honest_68,Honest_67,2,Honest
Honest_69,Honest_75,2,Honest
Honest_70,Honest_33,2,Honest
Honest_71,Honest_47,2,Honest
Honest_72,Honest_99,2,Honest
Honest_73,Honest_25,2,Honest
Honest_74,Honest_21,2,Honest
Honest_75,Honest_129,2,Honest
Honest_76,Honest_24,2,Honest
Honest_77,Sybil_5,2,Honest
Honest_78,Honest_42,2,Honest
Honest_79,Honest_126,2,Honest
Honest_80,Honest_89,2,Honest
Honest_81,Sybil_30,2,Honest
Honest_82,Smart_1,2,Honest
Honest_83,Honest_25,2,Honest
Honest_84,Honest_91,2,Honest
Honest_85,Smart_18,2,Honest
Honest_86,Sybil_27,2,Honest
Honest_87,Honest_106,2,Honest
Honest_88,Honest_121,2,Honest
Honest_89,Honest_96,2,Honest
Honest_90,Honest_91,2,Honest
Honest_91,Smart_3,2,Honest
Honest_92,Honest_87,2,Honest
Honest_93,Honest_135,2,Honest
Honest_94,Honest_20,2,Honest
Honest_95,Honest_33,2,Honest
Honest_96,Smart_8,2,Honest
Honest_97,Sybil_12,2,Honest
Honest_98,Honest_27,2,Honest
Honest_100,Honest_19,2,Honest
Honest_101,Honest_66,2,Honest
Honest_102,Sybil_1,2,Honest
Honest_103,Sybil_28,2,Honest
Honest_104,Smart_12,2,Honest
Honest_105,Honest_56,2,Honest
Honest_106,Sybil_5,2,Honest
Honest_107,Sybil_35,2,Honest
Honest_108,Honest_89,2,Honest
Honest_109,Honest_37,2,Honest
Honest_110,Honest_104,2,Honest
Honest_111,Sybil_6,2,Honest
Honest_112,Smart_10,2,Honest
Honest_113,Honest_79,2,Honest
Honest_114,Honest_90,2,Honest
Honest_115,Honest_79,2,Honest
Honest_116,Honest_36,2,Honest
Honest_117,Honest_119,2,Honest
Honest_118,Honest_114,2,Honest
Honest_119,Sybil_36,2,Honest
Honest_120,Honest_18,2,Honest
Honest_121,Sybil_32,2,Honest
Honest_122,Honest_36,2,Honest
Honest_123,Honest_24,2,Honest
Honest_124,Honest_68,2,Honest
Honest_125,Honest_78,2,Honest
Honest_126,Honest_93,2,Honest
Honest_127,Smart_0,2,Honest
Honest_128,Honest_40,2,Honest
Honest_129,Honest_71,2,Honest
Honest_130,Honest_93,2,Honest
Honest_131,Honest_85,2,Honest
Honest_132,Honest_55,2,Honest
Honest_133,Honest_109,2,Honest
Honest_134,Honest_49,2,Honest
Honest_135,Honest_2,2,Honest
Honest_136,Smart_19,2,Honest
Honest_137,Sybil_34,2,Honest
Honest_138,Honest_49,2,Honest
Honest_139,Sybil_2,2,Honest
Smart_0,Honest_27,2,SmartCollusion
Smart_1,Honest_11,2,SmartCollusion
Smart_3,Smart_4,2,SmartCollusion
Smart_4,Honest_20,2,SmartCollusion
Smart_5,Smart_8,2,SmartCollusion
Smart_6,Smart_2,2,SmartCollusion
Smart_7,Smart_2,2,SmartCollusion
Smart_8,Honest_74,2,SmartCollusion
Smart_9,Smart_13,2,SmartCollusion
Smart_10,Honest_99,2,SmartCollusion
Smart_11,Honest_58,2,SmartCollusion
Smart_12,Smart_19,2,SmartCollusion
Smart_13,Honest_128,2,SmartCollusion
Smart_14,Honest_28,2,SmartCollusion
Smart_15,Honest_71,2,SmartCollusion
Smart_16,Honest_121,2,SmartCollusion
Smart_17,Honest_74,2,SmartCollusion
Smart_18,Honest_90,2,SmartCollusion
Smart_19,Honest_98,2,SmartCollusion
Sybil_0,Honest_87,2,Sybil
Sybil_1,Honest_7,2,Sybil
Sybil_2,Honest_5,2,Sybil
Sybil_3,Honest_74,2,Sybil
Sybil_4,Honest_119,2,Sybil
Sybil_5,Honest_48,2,Sybil
Sybil_6,Honest_96,2,Sybil
Sybil_7,Honest_54,2,Sybil
Sybil_8,Sybil_1,2,Sybil
Sybil_9,Honest_94,2,Sybil
Sybil_10,Sybil_16,2,Sybil
Sybil_11,Honest_21,2,Sybil
Sybil_12,Sybil_22,2,Sybil
Sybil_13,Honest_115,2,Sybil
Sybil_14,Honest_64,2,Sybil
Sybil_15,Sybil_33,2,Sybil
Sybil_16,Honest_68,2,Sybil
Sybil_17,Honest_131,2,Sybil
Sybil_18,Honest_23,2,Sybil
Sybil_19,Honest_135,2,Sybil
Sybil_20,Smart_8,2,Sybil
Sybil_21,Sybil_24,2,Sybil
Sybil_22,Honest_45,2,Sybil
Sybil_23,Honest_90,2,Sybil
Sybil_24,Honest_41,2,Sybil
Sybil_25,Honest_55,2,Sybil
Sybil_26,Honest_35,2,Sybil
Sybil_27,Honest_116,2,Sybil
Sybil_28,Sybil_31,2,Sybil
Sybil_29,Honest_110,2,Sybil
Sybil_30,Honest_18,2,Sybil
Sybil_31,Honest_12,2,Sybil
Sybil_32,Honest_125,2,Sybil
Sybil_33,Honest_9,2,Sybil
Sybil_34,Honest_46,2,Sybil
Sybil_35,Honest_11,2,Sybil
Sybil_36,Honest_0,2,Sybil
Sybil_37,Honest_104,2,Sybil
Sybil_38,Honest_84,2,Sybil
Sybil_39,Honest_90,2,Sybil
Honest_0,Sybil_2,3,Honest
Honest_1,Honest_80,3,Honest
Honest_2,Honest_111,3,Honest
Honest_3,Honest_74,3,Honest
Honest_4,Sybil_19,3,Honest
Honest_5,Honest_129,3,Honest
Honest_6,Sybil_33,3,Honest
Honest_7,Honest_8,3,Honest
Honest_8,Smart_14,3,Honest
Honest_9,Sybil_16,3,Honest
Honest_10,Sybil_10,3,Honest
Honest_11,Honest_40,3,Honest
Honest_12,Sybil_29,3,Honest
Honest_13,Honest_50,3,Honest
Honest_14,Sybil_5,3,Honest
Honest_15,Honest_39,3,Honest
Honest_16,Honest_137,3,Honest
Honest_17,Sybil_2,3,Honest
Honest_18,Honest_85,3,Honest
Honest_19,Honest_26,3,Honest
Honest_20,Sybil_23,3,Honest
Honest_21,Honest_123,3,Honest
Honest_22,Honest_1,3,Honest
Honest_23,Smart_19,3,Honest
Honest_24,Honest_40,3,Honest
Honest_25,Honest_20,3,Honest
Honest_26,Smart_3,3,Honest
Honest_27,Honest_20,3,Honest
Honest_28,Honest_41,3,Honest
Honest_29,Honest_71,3,Honest
Honest_30,Sybil_21,3,Honest
Honest_31,Honest_32,3,Honest
Honest_32,Honest_15,3,Honest
Honest_33,Honest_115,3,Honest
Honest_34,Honest_47,3,Honest
Honest_35,Honest_61,3,Honest
Honest_36,Sybil_18,3,Honest
Honest_37,Smart_3,3,Honest
Honest_38,Honest_21,3,Honest
Honest_39,Honest_126,3,Honest
Honest_40,Honest_71,3,Honest
Honest_41,Honest_109,3,Honest
Honest_42,Honest_13,3,Honest
Honest_43,Honest_50,3,Honest
Honest_44,Sybil_23,3,Honest
Honest_45,Smart_12,3,Honest
Honest_46,Honest_104,3,Honest
Honest_47,Honest_103,3,Honest
Honest_48,Honest_110,3,Honest
Honest_49,Sybil_35,3,Honest
Honest_50,Honest_13,3,Honest
Honest_51,Honest_19,3,Honest
Honest_52,Honest_18,3,Honest
Honest_53,Honest_86,3,Honest
Honest_54,Honest_7,3,Honest
Honest_55,Honest_59,3,Honest
Honest_56,Honest_89,3,Honest
Honest_57,Honest_132,3,Honest
Honest_58,Honest_87,3,Honest
Honest_59,Honest_129,3,Honest
Honest_60,Sybil_38,3,Honest
Honest_61,Honest_105,3,Honest
Honest_62,Sybil_5,3,Honest
Honest_63,Honest_114,3,Honest
Honest_64,Honest_70,3,Honest
Honest_65,Honest_37,3,Honest
Honest_66,Honest_48,3,Honest
Honest_67,Sybil_5,3,Honest
Honest_68,Sybil_37,3,Honest
Honest_69,Sybil_35,3,Honest
Honest_70,Sybil_26,3,Honest
Honest_71,Honest_93,3,Honest
Honest_72,Honest_54,3,Honest
Honest_73,Honest_89,3,Honest
Honest_74,Smart_1,3,Honest
Honest_75,Honest_81,3,Honest
Honest_76,Sybil_19,3,Honest
Honest_77,Honest_92,3,Honest
Honest_78,Honest_130,3,Honest
Honest_79,Honest_58,3,Honest
Honest_80,Honest_4,3,Honest
Honest_81,Honest_101,3,Honest
Honest_82,Honest_132,3,Honest
Honest_83,Honest_105,3,Honest
Honest_84,Sybil_28,3,Honest
Honest_85,Honest_35,3,Honest
Honest_86,Honest_90,3,Honest
Honest_87,Honest_57,3,Honest
Honest_88,Honest_3,3,Honest
Honest_89,Honest_25,3,Honest
Honest_90,Sybil_24,3,Honest
Honest_91,Honest_107,3,Honest
Honest_92,Smart_16,3,Honest
Honest_93,Honest_103,3,Honest
Honest_94,Honest_69,3,Honest
Honest_95,Honest_26,3,Honest
Honest_96,Honest_16,3,Honest
Honest_97,Honest_124,3,Honest
Honest_98,Honest_43,3,Honest
Honest_99,Honest_116,3,Honest
Honest_100,Honest_32,3,Honest
Honest_101,Honest_14,3,Honest
Honest_102,Honest_32,3,Honest
Honest_103,Honest_118,3,Honest
Honest_104,Honest_129,3,Honest
Honest_105,Sybil_2,3,Honest
Honest_106,Honest_58,3,Honest
Honest_107,Honest_56,3,Honest
Honest_108,Sybil_26,3,Honest
Honest_109,Honest_137,3,Honest
Honest_110,Honest_119,3,Honest
Honest_111,Honest_93,3,Honest
Honest_112,Honest_53,3,Honest
Honest_113,Sybil_30,3,Honest
Honest_114,Honest_18,3,Honest
Honest_115,Honest_16,3,Honest
Honest_116,Honest_65,3,Honest
Honest_117,Smart_6,3,Honest
Honest_118,Honest_82,3,Honest
Honest_119,Honest_106,3,Honest
Honest_120,Honest_20,3,Honest
Honest_121,Sybil_30,3,Honest
Honest_122,Honest_66,3,Honest
Honest_123,Honest_74,3,Honest
Honest_124,Sybil_25,3,Honest
Honest_125,Smart_13,3,Honest
Honest_126,Smart_15,3,Honest
Honest_127,Honest_51,3,Honest
Honest_128,Smart_10,3,Honest
Honest_129,Honest_68,3,Honest
Honest_130,Honest_36,3,Honest
Honest_131,Smart_12,3,Honest
Honest_132,Smart_5,3,Honest
Honest_133,Sybil_39,3,Honest
Honest_134,Honest_135,3,Honest
Honest_135,Honest_58,3,Honest
Honest_136,Honest_129,3,Honest
Honest_137,Honest_125,3,Honest
Honest_138,Honest_124,3,Honest
Honest_139,Sybil_27,3,Honest
Smart_0,Honest_30,3,SmartCollusion
Smart_1,Honest_83,3,SmartCollusion
Smart_2,Honest_12,3,SmartCollusion
Smart_3,Smart_15,3,SmartCollusion
Smart_4,Honest_137,3,SmartCollusion
Smart_5,Smart_18,3,SmartCollusion
Smart_6,Smart_7,3,SmartCollusion
Smart_7,Smart_12,3,SmartCollusion
Smart_8,Honest_134,3,SmartCollusion
Smart_9,Honest_104,3,SmartCollusion
Smart_10,Smart_7,3,SmartCollusion
Smart_11,Honest_7,3,SmartCollusion
Smart_12,Honest_9,3,SmartCollusion
Smart_13,Smart_18,3,SmartCollusion
Smart_14,Smart_18,3,SmartCollusion
Smart_15,Honest_108,3,SmartCollusion
Smart_16,Smart_4,3,SmartCollusion
Smart_17,Smart_0,3,SmartCollusion
Smart_18,Smart_15,3,SmartCollusion
Smart_19,Honest_44,3,SmartCollusion
Sybil_0,Honest_40,3,Sybil
Sybil_1,Smart_11,3,Sybil
Sybil_2,Honest_114,3,Sybil
Sybil_3,Honest_24,3,Sybil
Sybil_4,Smart_9,3,Sybil
Sybil_5,Honest_80,3,Sybil
Sybil_6,Sybil_28,3,Sybil
Sybil_7,Honest_103,3,Sybil
Sybil_8,Honest_31,3,Sybil
Sybil_9,Honest_6,3,Sybil
Sybil_10,Sybil_6,3,Sybil
Sybil_11,Honest_42,3,Sybil
Sybil_12,Sybil_37,3,Sybil
Sybil_13,Sybil_14,3,Sybil
Sybil_14,Sybil_18,3,Sybil
Sybil_15,Honest_56,3,Sybil
Sybil_16,Sybil_5,3,Sybil
Sybil_17,Honest_35,3,Sybil
Sybil_18,Smart_13,3,Sybil
Sybil_19,Honest_11,3,Sybil
Sybil_20,Honest_122,3,Sybil
Sybil_21,Smart_2,3,Sybil
Sybil_22,Smart_1,3,Sybil
Sybil_23,Honest_81,3,Sybil
Sybil_24,Honest_41,3,Sybil
Sybil_25,Honest_120,3,Sybil
Sybil_26,Sybil_28,3,Sybil
Sybil_27,Sybil_1,3,Sybil
Sybil_28,Sybil_23,3,Sybil
Sybil_29,Honest_131,3,Sybil
Sybil_30,Sybil_11,3,Sybil
Sybil_31,Sybil_2,3,Sybil
Sybil_32,Sybil_24,3,Sybil
Sybil_33,Honest_23,3,Sybil
Sybil_34,Honest_15,3,Sybil
Sybil_35,Sybil_24,3,Sybil
Sybil_36,Sybil_5,3,Sybil
Sybil_37,Honest_6,3,Sybil
Sybil_38,Honest_51,3,Sybil
Sybil_39,Honest_134,3,Sybil
Honest_0,Honest_45,4,Honest
Honest_1,Honest_49,4,Honest
Honest_2,Sybil_32,4,Honest
Honest_3,Smart_18,4,Honest
Honest_4,Honest_93,4,Honest
Honest_5,Honest_130,4,Honest
Honest_6,Honest_61,4,Honest
Honest_7,Sybil_2,4,Honest
Honest_8,Honest_74,4,Honest
Honest_9,Honest_52,4,Honest
Honest_10,Sybil_18,4,Honest
Honest_11,Sybil_0,4,Honest
Honest_12,Honest_119,4,Honest
Honest_13,Honest_5,4,Honest
Honest_14,Honest_43,4,Honest
Honest_15,Sybil_28,4,Honest
Honest_16,Honest_112,4,Honest
Honest_17,Honest_55,4,Honest
Honest_18,Honest_42,4,Honest
Honest_19,Honest_109,4,Honest
Honest_20,Honest_23,4,Honest
Honest_21,Honest_22,4,Honest
Honest_22,Honest_2,4,Honest
Honest_23,Honest_60,4,Honest
Honest_24,Sybil_10,4,Honest
Honest_25,Honest_64,4,Honest
Honest_26,Honest_127,4,Honest
Honest_27,Honest_112,4,Honest
Honest_28,Honest_52,4,Honest
Honest_29,Honest_124,4,Honest
Honest_30,Sybil_36,4,Honest
Honest_31,Honest_67,4,Honest
Honest_32,Honest_135,4,Honest
Honest_33,Smart_1,4,Honest
Honest_34,Smart_12,4,Honest
Honest_35,Sybil_4,4,Honest
Honest_36,Sybil_8,4,Honest
Honest_37,Smart_12,4,Honest
Honest_38,Honest_11,4,Honest
Honest_39,Honest_133,4,Honest
Honest_40,Honest_35,4,Honest
Honest_41,Honest_139,4,Honest
Honest_42,Sybil_9,4,Honest
Honest_43,Honest_71,4,Honest
Honest_44,Sybil_28,4,Honest
Honest_45,Honest_69,4,Honest
Honest_46,Honest_44,4,Honest
Honest_47,Smart_4,4,Honest
Honest_48,Honest_54,4,Honest
Honest_49,Honest_4,4,Honest
Honest_50,Honest_62,4,Honest
Honest_51,Honest_29,4,Honest
Honest_52,Sybil_17,4,Honest
Honest_53,Honest_76,4,Honest
Honest_54,Honest_41,4,Honest
Honest_55,Honest_119,4,Honest
Honest_56,Honest_43,4,Honest
Honest_57,Honest_88,4,Honest
Honest_58,Sybil_13,4,Honest
Honest_59,Honest_28,4,Honest
Honest_60,Honest_116,4,Honest
Honest_61,Honest_32,4,Honest
Honest_62,Sybil_29,4,Honest
Honest_63,Sybil_30,4,Honest
Honest_64,Honest_125,4,Honest
Honest_65,Sybil_3,4,Honest
Honest_66,Honest_41,4,Honest
Honest_67,Smart_13,4,Honest
Honest_68,Sybil_32,4,Honest
Honest_69,Honest_28,4,Honest
Honest_70,Sybil_21,4,Honest
Honest_71,Smart_13,4,Honest
Honest_72,Honest_0,4,Honest
Honest_73,Sybil_12,4,Honest
Honest_74,Honest_107,4,Honest
Honest_75,Honest_84,4,Honest
Honest_76,Honest_53,4,Honest
Honest_77,Honest_114,4,Honest
Honest_78,Honest_11,4,Honest
Honest_79,Honest_114,4,Honest
Honest_80,Honest_58,4,Honest
Honest_81,Sybil_3,4,Honest
Honest_82,Honest_92,4,Honest
Honest_83,Honest_5,4,Honest
Honest_84,Honest_68,4,Honest
Honest_85,Honest_114,4,Honest
Honest_86,Smart_5,4,Honest
Honest_87,Honest_115,4,Honest
Honest_88,Sybil_0,4,Honest
Honest_89,Honest_68,4,Honest
Honest_90,Honest_127,4,Honest
Honest_91,Honest_124,4,Honest
Honest_92,Honest_101,4,Honest
Honest_93,Honest_105,4,Honest
Honest_94,Honest_4,4,Honest
Honest_95,Sybil_28,4,Honest
Honest_96,Honest_127,4,Honest
Honest_97,Honest_109,4,Honest
Honest_98,Sybil_22,4,Honest
Honest_99,Honest_29,4,Honest
Honest_100,Honest_21,4,Honest
Honest_101,Honest_59,4,Honest
Honest_102,Honest_139,4,Honest
Honest_103,Honest_54,4,Honest
Honest_104,Honest_13,4,Honest
Honest_105,Honest_128,4,Honest
Honest_107,Honest_52,4,Honest
Honest_108,Honest_95,4,Honest
Honest_109,Honest_17,4,Honest
Honest_110,Honest_84,4,Honest
Honest_112,Sybil_18,4,Honest
Honest_113,Honest_103,4,Honest
Honest_114,Sybil_26,4,Honest
Honest_115,Honest_127,4,Honest
Honest_116,Honest_72,4,Honest
Honest_117,Honest_46,4,Honest
Honest_118,Honest_90,4,Honest
Honest_119,Honest_110,4,Honest
Honest_120,Sybil_21,4,Honest
Honest_121,Honest_88,4,Honest
Honest_122,Honest_10,4,Honest
Honest_123,Honest_55,4,Honest
Honest_124,Smart_17,4,Honest
Honest_125,Sybil_34,4,Honest
Honest_126,Honest_2,4,Honest
Honest_127,Honest_63,4,Honest
Honest_128,Honest_95,4,Honest
Honest_129,Honest_6,4,Honest
Honest_130,Honest_110,4,Honest
Honest_131,Smart_0,4,Honest
Honest_132,Honest_112,4,Honest
Honest_133,Honest_40,4,Honest
Honest_134,Honest_38,4,Honest
Honest_135,Honest_133,4,Honest
Honest_136,Honest_3,4,Honest
Honest_137,Honest_72,4,Honest
Honest_138,Honest_63,4,Honest
Honest_139,Honest_103,4,Honest
Smart_0,Honest_114,4,SmartCollusion
Smart_1,Honest_83,4,SmartCollusion
Smart_2,Honest_19,4,SmartCollusion
Smart_3,Honest_38,4,SmartCollusion
